time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1931	1.30247	5.21073	0.192319	0.144111	radar	5.02052	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.4177	1.39071	5.18616	0.216566	0.162618	lidar	2.83296	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.662	1.46319	5.16581	0.232814	0.172565	radar	5.08105	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8887	1.50617	5.14165	0.235758	0.167049	lidar	2.25075	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1476	1.5596	5.14962	0.240327	0.162811	radar	1.37496	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.4245	1.61423	5.17296	0.243446	0.156983	lidar	2.13985	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6649	1.67405	5.15686	0.251244	0.157747	radar	1.35352	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8947	1.74544	5.14057	0.263212	0.162421	lidar	1.09019	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1453	1.82504	5.14954	0.275383	0.166165	radar	1.14881	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3864	1.86386	5.13763	0.271398	0.153381	lidar	0.937807	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6369	1.92687	5.14443	0.275499	0.148938	radar	0.800815	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8359	2.0628	5.11632	0.313251	0.181653	lidar	6.31215	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0899	2.15565	5.13837	0.325097	0.182907	radar	3.68396	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2909	2.29999	5.11666	0.362704	0.213565	lidar	4.71929	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4968	2.42483	5.0856	0.391966	0.236051	radar	11.7122	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7418	2.54952	5.10222	0.412813	0.245212	lidar	1.21693	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9674	2.65841	5.09414	0.428753	0.250067	radar	0.462792	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1915	2.81812	5.10479	0.462451	0.272169	lidar	1.53424	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4309	2.92586	5.11929	0.469587	0.26302	radar	1.27403	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6358	3.01302	5.08995	0.47445	0.255237	lidar	3.37483	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8628	3.14745	5.10317	0.491798	0.258115	radar	4.18751	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0642	3.34266	5.11231	0.535874	0.290628	lidar	2.86501	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2793	3.49265	5.11297	0.558928	0.300782	radar	2.70633	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4873	3.68597	5.13031	0.596013	0.323284	lidar	2.05981	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6999	3.82243	5.12777	0.608462	0.319403	radar	0.778398	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.918	3.97483	5.13687	0.624283	0.318874	lidar	0.337799	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1196	4.13449	5.12975	0.646922	0.328991	radar	1.79631	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3138	4.33323	5.14382	0.680073	0.34583	lidar	1.20811	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5203	4.49398	5.1496	0.694305	0.341898	radar	0.639193	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6967	4.67182	5.1408	0.719576	0.35081	lidar	0.727666	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.865	4.86278	5.12197	0.755608	0.377747	radar	5.31693	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0278	5.08952	5.13436	0.795648	0.39914	lidar	1.56372	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.2005	5.27002	5.12433	0.817758	0.404386	radar	1.95512	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3604	5.45889	5.1153	0.841316	0.408306	lidar	0.45331	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.5198	5.64514	5.1006	0.865505	0.416476	radar	3.80512	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.7179	5.77934	5.08388	0.858972	0.389122	lidar	2.79974	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8652	5.98419	5.07315	0.891055	0.40803	radar	2.15658	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0429	6.17195	5.07856	0.902798	0.398818	lidar	0.603025	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.191	6.38119	5.07784	0.928767	0.406921	radar	0.790898	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.3114	6.61316	5.07934	0.964811	0.423002	lidar	1.07358	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4435	6.83044	5.07544	0.993529	0.433932	radar	0.599829	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5936	6.98223	5.03758	0.995118	0.415304	lidar	4.51872	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7352	7.19312	5.04141	1.01218	0.409942	radar	0.189046	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9382	7.33761	5.02617	0.993785	0.370911	lidar	6.37457	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	19.0349	7.55822	5.00554	1.03264	0.399814	radar	5.84847	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.1243	7.80567	5.0114	1.07132	0.418656	lidar	1.54489	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2397	8.0242	5.0076	1.09309	0.420481	radar	0.399433	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.3158	8.23816	4.98255	1.12367	0.431469	lidar	3.72037	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.4121	8.46034	4.97668	1.14615	0.431345	radar	2.61984	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.5042	8.62129	4.91821	1.15661	0.423044	lidar	10.0989	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5907	8.8459	4.9105	1.18359	0.432454	radar	1.10288	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7611	9.01583	4.89402	1.16726	0.39486	lidar	7.04032	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8333	9.24822	4.88706	1.20036	0.414075	radar	1.55504	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.971	9.4579	4.89037	1.20003	0.392648	lidar	3.07901	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	20.0199	9.69329	4.8766	1.24134	0.423664	radar	4.25947	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.1104	9.91779	4.87549	1.25646	0.4176	lidar	0.209145	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1693	10.1612	4.88083	1.28358	0.423182	radar	6.72718	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.2163	10.4137	4.89046	1.31439	0.432422	lidar	0.522408	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.2384	10.6557	4.87981	1.35661	0.460984	radar	4.26799	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2991	10.9109	4.89765	1.37771	0.458133	lidar	1.2251	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.329	11.16	4.90151	1.40714	0.464793	radar	4.89364	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.358	11.3953	4.8934	1.43252	0.46735	lidar	0.319039	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.3208	11.6454	4.88028	1.4943	0.520657	radar	13.4433	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3954	11.8843	4.88709	1.49819	0.498304	lidar	4.43319	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.4133	12.1238	4.88555	1.51609	0.485245	radar	3.42534	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3962	12.3936	4.90576	1.55245	0.496001	lidar	1.39561	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.3542	12.6371	4.89633	1.603	0.533175	radar	4.81381	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3773	12.8772	4.89529	1.61676	0.520554	lidar	1.31112	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3581	13.1166	4.88981	1.64753	0.529282	radar	2.32865	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.3111	13.3343	4.86476	1.68245	0.539126	lidar	3.3484	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2701	13.5726	4.86201	1.7128	0.542043	radar	1.63294	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2506	13.8221	4.87059	1.73328	0.535025	lidar	0.833671	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1927	14.0562	4.86556	1.76964	0.549392	radar	1.3367	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.1359	14.3011	4.87266	1.79902	0.550797	lidar	0.127655	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0638	14.5329	4.86961	1.83211	0.556875	radar	1.81057	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9501	14.7723	4.88003	1.87713	0.57286	lidar	2.5448	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8778	14.9975	4.87335	1.9003	0.56311	radar	3.70987	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8449	15.2202	4.85878	1.91118	0.547381	lidar	2.77192	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.718	15.436	4.85718	1.97138	0.5996	radar	8.5378	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
